Brand,Series,Thickness,Weight,Operating System,Display Size,Display Touchscreen,Processor,Graphic Processor,RAM_Capacity_GB,RAM Type,SSD Capacity,HDD Capacity,Battery Capacity,Fingerprint scanner,Price (Rs)
Lenovo,Ideapad,19.9,1.41,Windows 11 Home Basic,14.0,No,intel core i3-1115g4 (11th gen),intel integrated uhd,8.0,DDR4,512.0,,,Yes,38990.0
Lenovo,Ideapad Flex,18.0,1.5,Windows 10 Home Basic,14.0,Yes,intel core i3-1005g1 (10th gen),intel uhd,8.0,DDR4,512.0,,,No,50990.0
MSI,,22.0,2.2,Windows 10 Home Basic,15.6,No,intel core i7- 7700hq (7th gen),nvidia geforce gtx 1050 ti,8.0,DDR4,128.0,1.0,,No,96490.0
Asus,ROG Strix G15,25.9,2.1,Windows 11 Home Basic,15.6,No,amd octa core ryzen 7-6800h,nvidia geforce rtx 3050,16.0,DDR4,1.0,,56.0,,78190.0
HP,Envy x360,16.4,1.32,Windows 10 Home Basic,13.3,Yes,amd hexa core ryzen 5 4500u,amd radeon,8.0,DDR4,512.0,,,No,87990.0
Asus,ROG Strix G15,25.9,2.1,Windows 11 Home Basic,15.6,No,amd octa core ryzen 7 - 6800h,nvidia geforce rtx 3050,16.0,DDR5,512.0,,56.0,No,78999.0
Acer,Aspire 3,19.0,1.7,Windows 11 Home Basic,15.6,No,intel core i3-1215u (12th gen),intel uhd,8.0,DDR4,512.0,,40.0,,31990.0
Lenovo,Ideapad,19.9,1.41,Windows 10 Home Basic,15.6,No,intel core i3-1115g4 (11th gen),intel uhd,8.0,DDR4,256.0,,,No,48134.0
Lenovo,Legion,24.0,2.3,Windows 10 Home Basic,15.6,No,amd hexa core ryzen 5 - 4600h,nvidia geforce gtx 1650,8.0,DDR4,256.0,1.0,,No,69789.0
HP,,19.9,1.77,Windows 10 Home Basic,15.6,No,intel core i3-1005g1 (10th gen),intel uhd,8.0,DDR4,,1.0,,No,42990.0
MSI,GF63 Thin,21.7,1.86,Windows 10 Home Basic,15.6,No,intel core i5-11400h (11th gen),nvidia geforce rtx 3050,8.0,DDR4,512.0,,,No,59789.0
HP,Pavilion,19.7,1.58,Windows 10 Home Basic,14.0,Yes,intel core i7-10510u (10th gen),intel uhd,8.0,DDR4,512.0,,,Yes,74990.0
Lenovo,Legion,24.9,2.2,Windows 10 Home Basic,15.6,No,amd hexa core ryzen 5 4600h,nvidia geforce gtx 1650,8.0,DDR4,256.0,1.0,,No,66990.0
Asus,ROG Strix G,25.8,2.4,Windows 10 Home Basic,15.6,No,intel core i7-9750h (9th gen),nvidia geforce gtx 1650,16.0,DDR4,512.0,,,No,77990.0
Acer,Swift 3,18.9,2.1,Windows 10 Home Basic,15.6,No,intel core i5-8250u (8th gen),nvidia geforce mx150,8.0,DDR4,128.0,1.0,,Yes,59990.0
Asus,VivoBook Ultra 14,17.9,1.4,Windows 11 Home Basic,14.0,No,intel core i3-1115g4 (11th gen),intel uhd,8.0,DDR4,512.0,,,Yes,35990.0
HP,Pavilion,17.0,1.41,Windows 11 Home Basic,14.0,No,amd hexa core ryzen 5 5500u,amd radeon,16.0,DDR4,512.0,,,Yes,61990.0
Asus,TUF,22.0,2.3,Windows 10 Home Basic,15.6,No,intel core i7-11800h (11th gen),nvidia geforce rtx 3050,16.0,DDR4,1.0,,,No,96490.0
Acer,Aspire 3,24.9,2.1,Windows 10 Home Basic,15.6,No,intel core i5-8250u (8th gen),nvidia geforce mx130,8.0,DDR4,,1.0,,No,40990.0
MSI,GF63 Thin,,1.86,Windows 11 Home Basic,15.6,No,intel core i5-11400h (11th gen),nvidia geforce rtx 3050,16.0,DDR4,512.0,,,,64671.0
Asus,TUF Gaming A15,23.0,2.3,Windows 11 Home Basic,15.6,No,amd hexa core ryzen 5 - 4600h,nvidia geforce gtx 1650,8.0,DDR4,512.0,,,,56990.0
Lenovo,Ideapad,17.9,1.2,Windows 10 Home Basic,11.6,No,intel celeron dual core n4020,intel uhd,4.0,DDR4,256.0,,,No,23999.0
Asus,VivoBook S14,18.8,1.3,Windows 10 Home Basic,14.0,No,intel core i3-8130u (8th gen),intel uhd 620,8.0,DDR4,,1.0,,Yes,53990.0
Asus,VivoBook S14,18.0,1.3,Windows 10 Home Basic,14.0,No,intel core i3-8130u (8th gen),intel uhd 620,8.0,DDR4,256.0,1.0,,Yes,44990.0
HP,,19.9,1.85,Windows 10 Home Basic,15.6,No,amd quad core ryzen 5 3500u,amd radeon vega 8,8.0,DDR4,,1.0,,No,37674.0
Acer,Aspire 3,18.9,1.78,Windows 11 Home Basic,15.6,No,amd quad core ryzen 3 - 7320u,amd radeon,8.0,LPDDR5,256.0,,,,40849.0
Acer,Swift 3,16.9,1.8,Windows 10 Home Basic,15.6,No,intel core i5- 8250u (8th gen),nvidia geforce mx150,8.0,DDR4,128.0,1.0,,Yes,64990.0
Lenovo,Ideapad,24.2,2.25,Windows 11 Home Basic,15.6,No,amd quad core ryzen 5 - 5500h,nvidia geforce rtx 2050,8.0,DDR4,512.0,,45.0,,49990.0
Lenovo,Ideapad,19.9,1.85,DOS,15.6,No,intel core i3-8130u (8th gen),intel uhd 620,4.0,DDR4,,1.0,,No,34190.0
Acer,Aspire 3,24.9,2.2,Windows 10 Home Basic,15.6,No,amd quad core ryzen 5 2500u,amd radeon vega 8,4.0,DDR4,,1.0,,No,35534.0
Asus,VivoBook 15,19.9,1.8,Windows 11 Home Basic,15.6,Yes,intel core i3-1115g4 (11th gen),intel uhd,8.0,DDR4,512.0,,,Yes,57940.0
Lenovo,Ideapad,20.0,1.7,Windows 11 Home Basic,15.6,No,intel core i3-10110u (10th gen),intel uhd,8.0,DDR4,,1.0,,No,31990.0
HP,,17.9,1.46,Windows 10 Home Basic,14.0,No,intel core i5-1035g1 (10th gen),intel uhd,8.0,DDR4,512.0,,,No,57458.0
HP,247,24.0,1.5,Windows 11 Home Basic,14.0,,amd dual core athlon p-3045b,intel integrated,8.0,DDR4,,1.0,,,23999.0
Asus,Chromebook,17.3,1.0,Google Chrome,11.6,No,intel celeron dual core n3350,intel hd 500,4.0,LPDDR4X,32.0,,,No,13890.0
Apple,MacBook Pro,15.6,1.4,macOS Catalina,13.0,No,intel core i5-1038ng7 (10th gen),intel iris plus,16.0,LPDDR4X,1.0,,,No,194900.0
Lenovo,Ideapad,19.9,1.85,Windows 10 Home Basic,15.6,No,intel core i5-8265u (8th gen),intel uhd 620,8.0,DDR4,256.0,1.0,,No,44990.0
MSI,,16.9,1.3,Windows 10 Home Basic,14.0,No,intel core i3-10110u (10th gen),intel uhd,8.0,DDR4,512.0,,,No,47490.0
Lenovo,Ideapad,17.9,1.69,Windows 10 Home Basic,14.0,No,intel core i5-1035g1 (10th gen),nvidia geforce mx230,8.0,DDR4,512.0,,,No,54990.0
Asus,TUF Gaming A17,25.2,2.6,Windows 10 Home Basic,17.3,No,amd hexa core ryzen 5 4600h,nvidia geforce gtx 1650,8.0,DDR4,512.0,,,No,64990.0
Acer,Predator Helios 300,22.9,2.3,Windows 10 Home Basic,15.6,No,intel core i7-11800h (11th gen),nvidia geforce rtx 3060,16.0,DDR4,512.0,1.0,,No,117990.0
Acer,Predator Helios 300,22.9,2.3,Windows 10 Home Basic,15.6,No,intel core i7-11800h (11th gen),nvidia geforce rtx 3050 ti,16.0,DDR4,512.0,1.0,,No,99990.0
Lenovo,Ideapad,24.0,2.25,Windows 11,15.6,No,amd hexa core ryzen 5 - 5600h,nvidia geforce gtx 1650,8.0,DDR4,256.0,1.0,,,47990.0
HP,,17.9,1.69,Windows 10 Home Basic,15.6,No,intel core i3-1115g4 (10th gen),intel uhd,8.0,DDR4,512.0,,,No,33890.0
Lenovo,Ideapad Slim 3i,20.0,1.6,Windows 10 Home Basic,14.0,No,intel core i3-1005g1 (10th gen),intel uhd,4.0,DDR4,,1.0,,No,33990.0
MSI,GF63 Thin,80.0,1.8,Windows 11 Home Basic,15.6,No,intel core i5-11260h (11th gen),nvidia geforce rtx 3050,8.0,DDR4,512.0,,,,56130.0
HP,,23.8,1.86,Windows 10 Home Basic,15.6,No,intel core i3-7100u (7th gen),intel hd 620,4.0,DDR4,,1.0,,No,35616.0
HP,Compaq,25.4,2.2,DOS,15.6,No,intel core i3-4005u,nvidia geforce 820m,4.0,DDR3,,1.0,,No,30990.0
HP,,17.9,1.69,Windows 11 Home Basic,15.6,No,intel core i5-1235u (12th gen),intel iris xe,16.0,DDR4,512.0,,,No,48740.0
Dell,Vostro,20.0,1.7,Windows 10 Home Basic,14.0,No,amd quad core ryzen 5 3500u,amd radeon vega 8,8.0,DDR4,512.0,,,No,49658.0
Asus,Vivobook,27.2,2.0,Windows 10 Home Basic,15.6,No,amd dual core e1-7010,intel hd 620,4.0,DDR3,,1.0,,No,19990.0
Lenovo,Ideapad,19.9,1.7,Windows 11 Home Basic,15.6,No,intel celeron dual core- n4020,intel uhd 600,8.0,DDR4,256.0,,,,26980.0
Dell,Vostro,20.0,1.59,Windows 10 Home Basic,14.0,No,amd dual core athlon 3050,amd radeon,4.0,DDR4,256.0,,,No,28890.0
HP,,22.5,1.77,Windows 10 Home Basic,15.6,No,amd ryzen 3 dual core -2200u,amd radeon vega 6,4.0,DDR4,,1.0,,,27990.0
Asus,Vivobook,,2.2,Windows 10 Professional,15.6,No,intel core i5-8250u (8th gen),nvidia geforce 940mx,8.0,DDR4,,1.0,,No,45990.0
HP,Pavilion,17.0,1.41,Windows 11 Home Basic,14.0,No,intel core i5-1155g7 (11th gen),intel iris x,8.0,DDR4,512.0,,,No,58615.0
Asus,Vivobook S 14 Flip,,1.5,Windows 11 Home Basic,14.0,Yes,amd hexa core ryzen 5 - 5600hs,amd radeon,8.0,DDR4,512.0,,50.0,Yes,44999.0
Acer,Extensa,19.0,,Windows 11 Home Basic,15.6,No,intel core i3-1115g4 (11th gen),intel uhd,8.0,DDR4,256.0,,,,25999.0
HP,,17.9,1.69,Windows 10 Home Basic,15.6,No,amd quad core ryzen 5 3450u,amd radeon vega 8,8.0,DDR4,512.0,,,No,42990.0
Apple,MacBook Pro,15.6,1.4,macOS Big Sur,13.3,No,apple m1,,8.0,DDR4,512.0,,,No,135990.0
Asus,ZenBook 13,13.9,1.11,Windows 10 Home Basic,13.3,No,intel core i7-1165g7 (11th gen),intel iris xe,16.0,LPDDR4X,1.0,,,No,99990.0
Lenovo,Ideapad,24.2,2.25,Windows 11 Home Basic,15.6,No,intel core i5-11320h (11th gen),nvidia geforce rtx 2050,8.0,DDR4,512.0,,45.0,,49990.0
HP,Pavilion,20.6,1.5,Windows 10 Home Basic,14.0,Yes,intel core i5-1135g7 (11th gen),intel iris x,16.0,DDR4,512.0,,,No,51000.0
Dell,Vostro,23.0,1.48,Windows 11,14.0,No,intel core i3-1115g4 (11th gen),intel integrated,8.0,DDR4,256.0,,,,33490.0
Acer,Extensa,19.9,1.9,Windows 10 Home Basic,15.6,No,intel pentium quad core n5030,intel uhd 605,4.0,DDR4,256.0,,,No,20999.0
Honor,MagicBook X14,16.5,1.4,Windows 11 Home Basic,14.0,No,intel core i5-12450h (12th gen),intel uhd,16.0,LPDDR4X,512.0,,,Yes,51990.0
Honor,MagicBook X14,16.5,1.4,Windows 11 Home Basic,14.0,No,intel core i5-12450h (12th gen),intel uhd,8.0,LPDDR4X,512.0,,,Yes,48990.0
Asus,ZenBook 13,13.9,1.11,Windows 10 Home Basic,13.3,No,intel core i5-1135g7 (11th gen),intel iris xe,8.0,LPDDR4X,512.0,,,No,69990.0
Infinix,,16.9,1.8,Windows 11 Home Basic,15.6,No,intel core i9-13900h (13th gen),intel iris xe,32.0,LPDDR5X,1.0,,70.0,Yes,71990.0
Acer,Aspire 7,19.9,2.1,Windows 11 Home Basic,15.6,No,intel core i5-12450h (12th gen),nvidia geforce gtx 1650,16.0,DDR4,512.0,,,,55990.0
HP,Pavilion,23.5,1.98,Windows 11 Home Basic,15.6,No,amd hexa core ryzen 5 5600h,nvidia geforce gtx 3050,8.0,DDR4,512.0,,52.5,No,62990.0
Acer,Aspire 7,19.9,2.1,Windows 11 Home Basic,15.6,No,intel core i5-12450h (12th gen),nvidia geforce gtx 1650,8.0,DDR4,512.0,,,,74999.0
HP,,17.9,1.47,Windows 10 Home Basic,14.0,No,intel core i5-1135g7 (11th gen),intel iris x,8.0,DDR4,512.0,,,No,57890.0
Lenovo,Ideapad,22.4,2.4,Windows 10 Home Basic,15.6,No,intel core i5-7200u (7th gen),nvidia geforce 940mx,8.0,DDR4,,2.0,,No,58790.0
